# Created from biom table																																								
#OTU ID	ECOLI	EXTBLK1	EXTBLK2	EXTBLK	FB200	FB20	FB5	FB60	FBF	NO15200	NO1520	NO155	NO1560	NO15F	NO7200	NO720	NO75	NO760	NO7F	PCRBLK	SM01200	SM0120	SM015	SM0160	SM01F	SM02200	SM0220	SM025	SM0260	SM02F	SM29200	SM2920	SM295	SM2960	SM29F	SM31200	SM3120	SM315	SM3160	SM31F
Otu36	1	0	0	96	0	0	0	0	0	662	506	688	691	442	881	712	980	635	1115	33	429	224	132	440	122	2125	1939	996	1516	497	1671	1469	2009	1527	874	1682	1740	812	1445	268
Otu37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	69	34	69	10
Otu38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	39	74	25	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu40	0	0	0	0	0	0	0	0	0	3	5	3	4	1	0	0	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	18	52	25	272	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu42	0	0	0	0	0	0	0	0	0	21	11	49	15	25	8	2	6	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu43	0	0	0	0	0	0	0	0	0	1	2	2	3	1	6	6	9	8	7	0	14	12	4	28	13	198	174	79	212	120	236	181	245	187	94	65	55	32	55	23
Otu44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	75	74	38	136	37	239	206	126	170	101	41	57	58	46	36	196	233	116	201	30
Otu45	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	206	107	37	181	37	656	601	277	647	119	402	323	431	370	257	283	304	134	291	37
Otu46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	353	245	265	236	386	0	265	110	44	261	76	363	349	139	313	66	47	45	49	51	16	42	41	17	43	8
Otu47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	7	1	3	5	9
Otu48	0	0	561	145	0	0	0	0	0	88	9	5	66	8	258	84	60	155	78	0	2	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Otu49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Otu50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	1	0
Otu51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Otu52	0	0	0	0	0	0	0	0	0	4	1	0	6	1	4	8	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu53	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu54	0	0	0	0	0	0	0	0	0	25	1	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu55	0	0	0	0	0	0	0	0	0	48	4	2	32	1	26	9	6	37	10	0	2	1	0	0	0	2	0	1	3	0	1	0	0	1	0	0	0	1	1	1
Otu56	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	80	28	17	69	24	10	3	4	8	5	1	0	1	4	1	0	0	2	2	1
Otu58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	1	0	0	0	3	1	1	1	1	1
Otu59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Otu60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu61	0	0	701	0	0	0	0	0	0	32	11	9	18	51	1	5	2	0	4	0	910	409	299	783	187	272	148	107	319	121	53	13	40	27	81	107	73	101	75	73
Otu62	0	0	0	0	0	0	0	0	0	111	18	9	126	13	226	123	21	264	77	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	5	8	4	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	3	3	3	1	3
Otu66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	0	3	91	60	111	90	34	1	0	5	4	3
Otu68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	0	0	0	0	2	0	0	0	0	1	1	0	3	0	0	0	0	2	0
Otu72	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu74	0	96	0	0	0	72	0	0	0	1	0	1	0	0	2	0	0	0	0	959	0	0	0	0	0	0	0	0	0	0	3	5	0	1	0	0	0	0	1	0
Otu75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3
Otu77	0	0	0	0	0	0	0	72	0	6	6	2	3	3	8	24	17	12	130	0	381	443	538	658	1759	1174	1088	2712	1297	7857	49	43	83	36	1904	291	121	507	185	1469
Otu78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	2	1	1	2	1	3	3	5	5	4	5	5
Otu79	0	0	140	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu80	0	0	0	0	0	72	0	0	0	0	0	0	0	0	4	9	2	7	3	0	6	1	1	2	7	1	0	1	0	0	1	2	0	0	0	3	2	2	2	1
Otu81	0	192	1121	0	223	144	419	145	0	0	0	2	0	1	0	0	0	1	0	232	1	1	0	0	2	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Otu82	0	770	140	0	124	0	0	0	0	0	1	0	2	0	5	4	1	2	5	0	3	5	1	8	4	0	0	0	3	0	3	4	2	2	1	1	3	0	4	0
Otu83	2	0	140	0	0	0	0	0	0	4	2	2	2	3	2	3	2	0	0	0	1710	463	303	759	352	1666	411	368	568	290	22	27	24	21	28	170	184	164	127	74
Otu84	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	10	6	5	0	0	0	0	0
Otu85	0	0	0	0	0	0	140	0	0	2	1	0	2	1	0	2	2	2	1	0	37	14	7	34	28	2	0	2	5	2	3	6	13	4	52	1	2	2	0	0
Otu86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	111	81	124	136	346	63	55	33	45	79	33	41	59	24	139	27	16	5	18	11
Otu87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	124	129	102	176	0	29	17	9	33	33	8	3	6	7	6	127	206	248	148	160	13	10	6	12	3
Otu88	0	0	0	0	74	0	210	145	0	238	312	301	257	104	258	282	352	201	513	0	255	189	131	264	159	39	25	14	24	12	11	8	19	13	30	28	17	10	18	4
Otu89	0	0	0	0	0	0	70	0	0	1	0	0	2	0	5	2	1	3	4	0	12	3	4	10	11	14	8	5	29	8	12	14	11	6	23	4	1	2	6	1
Otu90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1
Otu91	0	0	0	0	0	0	0	0	0	10	6	7	10	13	0	0	3	2	7	0	0	0	0	1	0	1	5	3	1	41	0	1	1	2	0	0	0	0	0	0
Otu92	0	0	0	0	0	0	0	0	0	157	88	87	212	30	186	105	121	136	46	0	89	25	12	52	41	221	114	115	264	169	332	136	76	307	63	90	48	37	91	41
Otu93	0	0	0	0	0	0	0	0	0	3	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu94	0	0	0	0	0	0	0	0	0	4	5	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	2	3	3	0	4	7	5	1	3	0	0	0	0	1	0
Otu96	0	0	0	0	0	0	0	0	0	13	7	10	14	15	5	1	1	5	15	0	0	0	1	0	0	5	0	0	0	2	3	5	3	7	2	0	0	0	1	0
Otu97	0	0	0	0	0	0	0	0	0	5	6	2	10	4	6	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	2	3	4	4	2	0	2	0	1	0
Otu98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	3	10	8	132	0	1	1	0	2	9	3	6	9	33
Otu99	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	22	0	0	0	0	0	1	0	2	0	3
